monthly_rent,location,property_type,rooms,size,furnished,region,Gymnasium,Air-Cond,Washing Machine,Swimming Pool,location_bin
2300,Cheras,Condominium,3,1170,1,Kuala Lumpur,1,1,0,1,3
1000,Taman Desa,Apartment,3,650,2,Kuala Lumpur,0,0,0,1,4
1700,Sentul,Apartment,2,743,1,Kuala Lumpur,1,0,1,1,4
1299,Mont Kiara,Service Residence,1,494,0,Kuala Lumpur,1,1,0,1,6
1500,Setapak,Apartment,3,884,1,Kuala Lumpur,0,0,0,1,4
1550,Ampang,Service Residence,1,700,2,Kuala Lumpur,1,1,1,1,3
1400,Segambut,Apartment,2,750,2,Kuala Lumpur,0,1,1,1,5
1350,Desa ParkCity,Condominium,3,862,1,Kuala Lumpur,1,1,0,1,6
2600,Bukit Jalil,Service Residence,2,868,1,Kuala Lumpur,1,0,0,1,3
2000,Setapak,Service Residence,4,1100,1,Kuala Lumpur,1,1,1,1,4
1500,Ampang,Service Residence,1,700,2,Kuala Lumpur,1,1,1,1,3
1300,Sentul,Service Residence,3,1009,2,Kuala Lumpur,1,1,1,1,4
1000,Kepong,Apartment,5,855,1,Kuala Lumpur,0,0,0,0,3
1400,Cheras,Service Residence,2,650,0,Kuala Lumpur,1,1,0,1,3
1800,Ampang,Condominium,3,1100,2,Kuala Lumpur,1,0,0,1,3
1099,Cheras,Service Residence,2,650,0,Kuala Lumpur,1,1,0,1,3
1099,Cheras,Service Residence,2,650,1,Kuala Lumpur,1,1,1,1,3
1199,Cheras,Service Residence,3,819,0,Kuala Lumpur,1,1,1,1,3
1100,Cheras,Service Residence,2,650,0,Kuala Lumpur,1,1,0,1,3
1000,Cheras,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,3
1100,Cheras,Condominium,1,900,1,Kuala Lumpur,1,0,0,1,3
1400,Wangsa Maju,Condominium,3,1140,0,Kuala Lumpur,1,0,0,1,4
1500,Setapak,Condominium,3,900,0,Kuala Lumpur,0,0,0,1,4
1750,Sentul,Apartment,3,1065,1,Kuala Lumpur,0,0,0,0,4
1800,Setapak,Apartment,3,885,2,Kuala Lumpur,0,0,0,0,4
1900,Sentul,Condominium,3,1300,1,Kuala Lumpur,0,0,0,0,4
1500,Jalan Kuching,Studio,1,530,2,Kuala Lumpur,1,1,1,1,5
2400,Bandar Menjalara,Condominium,3,1316,2,Kuala Lumpur,1,1,1,1,4
1400,Old Klang Road,Condominium,3,1270,1,Kuala Lumpur,1,1,0,1,5
1800,Cheras,Service Residence,3,819,1,Kuala Lumpur,1,1,0,1,3
1500,Desa Pandan,Apartment,3,950,1,Kuala Lumpur,0,0,0,0,5
1600,Jalan Kuching,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,5
1800,Setapak,Condominium,3,1066,2,Kuala Lumpur,0,0,0,0,4
2100,KLCC,Condominium,2,706,2,Kuala Lumpur,1,0,0,1,6
2500,Ampang Hilir,Condominium,2,890,2,Kuala Lumpur,1,0,0,1,6
1300,Sentul,Service Residence,2,650,1,Kuala Lumpur,1,0,0,1,4
2000,Bukit Bintang,Service Residence,2,742,2,Kuala Lumpur,1,0,0,1,6
2000,Desa ParkCity,Condominium,3,862,2,Kuala Lumpur,0,1,1,0,6
2100,Cheras,Condominium,4,1300,2,Kuala Lumpur,1,0,0,1,3
1300,KL City,Apartment,3,805,1,Kuala Lumpur,1,0,0,1,6
2600,Wangsa Maju,Condominium,4,1000,2,Kuala Lumpur,1,0,0,1,4
2000,Ampang Hilir,Service Residence,1,440,2,Kuala Lumpur,1,0,0,1,6
2500,Bukit Jalil,Condominium,3,1028,2,Kuala Lumpur,1,1,1,1,3
2000,Setapak,Condominium,4,940,2,Kuala Lumpur,1,1,1,1,4
1800,Setapak,Condominium,3,860,2,Kuala Lumpur,1,1,1,1,4
1700,Jalan Kuching,Condominium,3,1100,1,Kuala Lumpur,0,1,0,1,5
1600,Setapak,Condominium,4,914,1,Kuala Lumpur,1,1,1,1,4
2000,Jalan Kuching,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,5
1500,Kepong,Condominium,3,1100,1,Kuala Lumpur,1,1,0,1,3
1700,Jalan Kuching,Condominium,3,1100,1,Kuala Lumpur,1,1,1,1,5
1850,Kepong,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,3
1700,Sentul,Condominium,4,1200,1,Kuala Lumpur,1,1,1,1,4
1700,Jalan Ipoh,Service Residence,2,904,2,Kuala Lumpur,1,1,1,1,5
1800,Kepong,Condominium,4,1300,1,Kuala Lumpur,1,1,0,1,3
1600,Setapak,Condominium,3,950,1,Kuala Lumpur,0,0,0,0,4
1600,Kepong,Condominium,3,1100,1,Kuala Lumpur,1,1,0,1,3
1400,Cheras,Service Residence,2,650,0,Kuala Lumpur,1,1,0,1,3
1000,KLCC,Apartment,3,1000,1,Kuala Lumpur,0,1,0,1,6
2700,Setiawangsa,Condominium,3,1115,1,Kuala Lumpur,0,0,0,1,5
1400,Gombak,Service Residence,3,850,0,Kuala Lumpur,1,1,0,1,4
1500,Cheras,Condominium,2,717,2,Kuala Lumpur,1,1,1,1,3
1350,Wangsa Maju,Apartment,3,850,1,Kuala Lumpur,0,0,0,0,4
1300,Sentul,Service Residence,3,1150,0,Kuala Lumpur,0,0,0,1,4
1300,Bukit Jalil,Apartment,3,1000,0,Kuala Lumpur,0,0,0,0,3
900,Cheras,Apartment,2,550,1,Kuala Lumpur,0,0,0,0,3
1300,Cheras,Condominium,3,967,1,Kuala Lumpur,1,1,0,1,3
2500,Wangsa Maju,Condominium,4,1184,1,Kuala Lumpur,0,0,0,1,4
1300,Taman Desa,Condominium,2,1050,1,Kuala Lumpur,1,0,0,1,4
1700,Wangsa Maju,Condominium,3,1267,1,Kuala Lumpur,1,1,0,1,4
2000,Wangsa Maju,Condominium,3,1267,2,Kuala Lumpur,1,1,1,1,4
2100,Sentul,Service Residence,2,999,1,Kuala Lumpur,1,1,1,1,4
1750,Sungai Besi,Condominium,3,1121,2,Kuala Lumpur,1,1,1,1,4
2000,Kepong,Apartment,2,872,2,Kuala Lumpur,1,1,1,1,3
1300,Ampang,Apartment,3,860,0,Kuala Lumpur,0,0,0,0,3
1100,Sungai Besi,Condominium,3,904,1,Kuala Lumpur,0,1,1,1,4
1300,KL City,Apartment,3,835,2,Kuala Lumpur,1,1,1,1,6
850,Jinjang,Apartment,3,750,1,Kuala Lumpur,0,0,0,0,1
1400,Sri Petaling,Condominium,3,1129,2,Kuala Lumpur,0,1,1,1,4
1900,Kepong,Service Residence,2,1132,1,Kuala Lumpur,1,1,0,1,3
1700,Sentul,Condominium,2,700,1,Kuala Lumpur,1,1,1,1,4
2100,Setapak,Service Residence,3,1000,1,Kuala Lumpur,1,1,0,1,4
1550,Cheras,Condominium,4,1142,1,Kuala Lumpur,1,1,0,1,3
1400,Setapak,Condominium,4,1300,1,Kuala Lumpur,0,0,1,1,4
1800,Setapak,Apartment,3,884,2,Kuala Lumpur,0,0,1,1,4
1300,Sentul,Service Residence,3,819,1,Kuala Lumpur,1,0,0,1,4
2500,Sentul,Service Residence,3,850,2,Kuala Lumpur,1,0,1,1,4
2300,Setapak,Service Residence,3,1000,1,Kuala Lumpur,0,0,1,1,4
1350,Cheras,Service Residence,2,650,1,Kuala Lumpur,1,1,1,1,3
1100,Kepong,Apartment,3,800,1,Kuala Lumpur,1,1,0,1,3
1700,Sentul,Condominium,3,1300,1,Kuala Lumpur,1,0,1,1,4
1800,Bangsar South,Apartment,3,1200,1,Kuala Lumpur,0,0,0,1,5
1600,Setapak,Service Residence,3,770,2,Kuala Lumpur,1,1,0,1,4
1600,Setapak,Service Residence,3,800,2,Kuala Lumpur,1,1,0,1,4
1650,Sentul,Service Residence,3,850,1,Kuala Lumpur,0,1,0,0,4
1200,Sentul,Service Residence,2,646,0,Kuala Lumpur,1,0,0,1,4
1200,Pantai,Condominium,2,1000,1,Kuala Lumpur,0,1,1,0,4
1400,Desa Pandan,Apartment,3,1000,1,Kuala Lumpur,0,1,0,0,5
2600,Wangsa Maju,Service Residence,4,877,2,Kuala Lumpur,0,0,0,0,4
900,Setapak,Service Residence,1,360,2,Kuala Lumpur,1,0,0,1,4
1200,Wangsa Maju,Service Residence,1,521,1,Kuala Lumpur,0,1,1,1,4
2500,Brickfields,Service Residence,1,468,2,Kuala Lumpur,0,1,1,0,6
2200,Kepong,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,3
2300,Desa ParkCity,Condominium,3,862,2,Kuala Lumpur,1,1,1,1,6
1500,Cheras,Condominium,4,1142,1,Kuala Lumpur,1,1,1,1,3
1600,Bukit Jalil,Condominium,3,1224,2,Kuala Lumpur,1,1,1,1,3
700,Sentul,Apartment,3,700,0,Kuala Lumpur,0,0,0,0,4
1900,Jalan Ipoh,Condominium,3,1193,1,Kuala Lumpur,1,1,1,1,5
2100,Ampang,Service Residence,3,1200,2,Kuala Lumpur,1,1,1,1,3
1399,Setapak,Service Residence,3,926,1,Kuala Lumpur,0,0,0,0,4
1300,Cheras,Apartment,3,935,0,Kuala Lumpur,0,0,0,0,3
1450,Kuchai Lama,Condominium,3,1100,1,Kuala Lumpur,1,0,0,0,4
1500,Desa Pandan,Apartment,3,900,1,Kuala Lumpur,1,1,0,1,5
1000,Setapak,Flat,3,650,0,Kuala Lumpur,0,1,0,0,4
1600,Kepong,Condominium,3,1070,1,Kuala Lumpur,1,1,0,1,3
2200,Sentul,Service Residence,3,850,2,Kuala Lumpur,1,1,1,1,4
2000,Jalan Sultan Ismail,Service Residence,1,560,2,Kuala Lumpur,1,0,0,1,6
1900,KLCC,Condominium,2,705,2,Kuala Lumpur,1,0,0,1,6
2200,Kepong,Apartment,2,866,2,Kuala Lumpur,1,1,0,1,3
2000,KL City,Service Residence,1,600,2,Kuala Lumpur,1,1,1,1,6
1000,Kepong,Apartment,3,955,1,Kuala Lumpur,0,0,0,1,3
850,Setapak,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,4
2500,Bangsar,Condominium,3,1000,2,Kuala Lumpur,1,1,1,1,6
1500,Cheras,Condominium,3,1000,2,Kuala Lumpur,1,1,1,1,3
1650,Bukit Jalil,Condominium,3,1200,2,Kuala Lumpur,1,1,1,1,3
2500,Sentul,Service Residence,3,850,1,Kuala Lumpur,1,0,1,1,4
1500,Jalan Ipoh,Condominium,3,1062,1,Kuala Lumpur,0,0,0,0,5
1200,Bangsar South,Flat,3,700,1,Kuala Lumpur,0,0,0,0,5
1500,Setapak,Service Residence,3,1040,1,Kuala Lumpur,1,0,1,1,4
1500,Setapak,Condominium,4,1333,1,Kuala Lumpur,0,0,1,0,4
1800,Cheras,Condominium,3,850,1,Kuala Lumpur,1,1,1,1,3
1500,KL City,Apartment,3,1100,1,Kuala Lumpur,0,0,0,0,6
850,Kepong,Apartment,3,850,0,Kuala Lumpur,0,0,0,1,3
999,Kepong,Condominium,3,962,0,Kuala Lumpur,1,0,0,1,3
1500,Pandan Indah,Apartment,3,900,2,Kuala Lumpur,0,1,1,0,2
2100,Taman Desa,Condominium,3,925,2,Kuala Lumpur,1,1,1,1,4
1550,Desa Pandan,Service Residence,1,570,2,Kuala Lumpur,1,1,1,1,5
2300,Cheras,Service Residence,3,1050,2,Kuala Lumpur,1,1,1,1,3
1500,Old Klang Road,Service Residence,3,900,1,Kuala Lumpur,1,1,0,1,5
2499,Setapak,Service Residence,4,1100,1,Kuala Lumpur,1,1,1,1,4
1450,Cheras,Condominium,3,1150,2,Kuala Lumpur,1,1,1,1,3
1100,Cheras,Service Residence,2,650,1,Kuala Lumpur,1,0,0,1,3
1750,Cheras,Service Residence,3,819,1,Kuala Lumpur,1,1,0,1,3
1800,Cheras,Service Residence,1,762,1,Kuala Lumpur,1,0,0,1,3
1700,Sentul,Apartment,2,743,2,Kuala Lumpur,1,1,1,1,4
2200,Bangsar South,Condominium,1,638,2,Kuala Lumpur,0,0,0,1,5
1700,Pandan Jaya,Condominium,3,1072,1,Kuala Lumpur,1,1,0,1,2
2000,Bukit Jalil,Condominium,4,900,2,Kuala Lumpur,1,1,1,1,3
1948,Damansara Heights,Service Residence,2,990,2,Kuala Lumpur,1,1,1,1,4
1300,Bukit Jalil,Apartment,3,850,1,Kuala Lumpur,0,1,0,0,3
2200,Cheras,Condominium,3,850,2,Kuala Lumpur,1,1,0,1,3
1600,Bandar Damai Perdana,Service Residence,3,1020,1,Kuala Lumpur,1,1,1,1,4
1300,Setapak,Service Residence,3,926,0,Kuala Lumpur,0,0,0,0,4
2400,Setapak,Condominium,3,1313,1,Kuala Lumpur,1,0,0,1,4
1400,Cheras,Service Residence,3,850,0,Kuala Lumpur,0,1,0,0,3
1200,Sungai Besi,Condominium,3,800,0,Kuala Lumpur,0,0,0,1,4
1800,Setapak,Condominium,3,1066,2,Kuala Lumpur,0,1,1,1,4
1400,Cheras,Studio,1,450,2,Kuala Lumpur,1,1,0,1,3
1800,Cheras,Condominium,3,850,1,Kuala Lumpur,0,1,0,1,3
550,Setapak,Service Residence,4,1300,1,Kuala Lumpur,1,1,1,1,4
1000,Bukit Jalil,Apartment,3,800,1,Kuala Lumpur,0,0,0,0,3
1500,Jalan Kuching,Condominium,3,1100,1,Kuala Lumpur,1,1,0,1,5
1600,Jalan Kuching,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,5
1400,Sentul,Apartment,3,650,1,Kuala Lumpur,0,1,0,1,4
1800,Kuchai Lama,Condominium,3,1200,2,Kuala Lumpur,0,1,1,0,4
1100,Cheras,Service Residence,2,650,0,Kuala Lumpur,1,1,0,1,3
1488,Cheras,Service Residence,3,819,1,Kuala Lumpur,1,1,0,1,3
1500,Setapak,Condominium,3,850,0,Kuala Lumpur,0,0,0,0,4
2200,Setapak,Apartment,3,829,2,Kuala Lumpur,1,0,0,1,4
1400,Bukit Jalil,Condominium,2,980,2,Kuala Lumpur,0,1,1,0,3
1500,Jalan Kuching,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,5
1600,Desa Pandan,Apartment,3,900,2,Kuala Lumpur,1,1,1,1,5
1500,Cheras,Condominium,3,1185,1,Kuala Lumpur,0,1,1,0,3
1200,Setapak,Condominium,3,931,1,Kuala Lumpur,1,0,0,1,4
1500,Cheras,Apartment,3,950,1,Kuala Lumpur,0,1,1,0,3
1400,Old Klang Road,Condominium,1,775,2,Kuala Lumpur,1,1,1,1,5
1600,Sri Petaling,Condominium,4,1421,1,Kuala Lumpur,0,0,0,1,4
1800,Setapak,Condominium,3,1076,2,Kuala Lumpur,1,0,1,1,4
1600,Setapak,Apartment,3,900,2,Kuala Lumpur,1,1,1,1,4
1000,Kepong,Apartment,3,750,0,Kuala Lumpur,0,0,0,0,3
1600,Setapak,Apartment,3,900,2,Kuala Lumpur,0,1,1,0,4
1600,Cheras,Condominium,3,1018,1,Kuala Lumpur,0,0,0,0,3
1600,Cheras,Condominium,4,1142,1,Kuala Lumpur,1,1,1,0,3
900,Wangsa Maju,Flat,2,600,1,Kuala Lumpur,0,0,0,0,4
1600,Setapak,Condominium,4,1328,0,Kuala Lumpur,0,0,0,0,4
1700,Setapak,Service Residence,3,900,2,Kuala Lumpur,0,0,0,0,4
1800,Setapak,Condominium,4,1313,0,Kuala Lumpur,1,0,0,1,4
1800,Setapak,Condominium,3,1067,2,Kuala Lumpur,0,0,0,0,4
2500,Titiwangsa,Service Residence,3,850,2,Kuala Lumpur,1,1,1,1,6
1300,Cheras,Service Residence,2,650,1,Kuala Lumpur,1,1,0,1,3
1100,Setapak,Condominium,3,820,1,Kuala Lumpur,0,1,0,1,4
900,Ampang,Condominium,3,890,1,Kuala Lumpur,1,0,0,1,3
1200,Cheras,Apartment,3,1006,1,Kuala Lumpur,0,1,1,0,3
2000,Jalan Kuching,Condominium,3,1018,2,Kuala Lumpur,1,1,1,1,5
1700,Titiwangsa,Service Residence,2,726,1,Kuala Lumpur,1,1,0,1,6
1300,Bandar Tasik Selatan,Apartment,3,850,2,Kuala Lumpur,0,1,1,0,1
1200,Bangsar South,Flat,3,750,0,Kuala Lumpur,0,0,0,0,5
1200,Wangsa Maju,Flat,2,520,0,Kuala Lumpur,0,0,0,0,4
1500,Wangsa Maju,Apartment,3,1070,1,Kuala Lumpur,0,1,0,0,4
2500,Sentul,Service Residence,3,850,2,Kuala Lumpur,1,1,1,1,4
750,Wangsa Maju,Flat,2,580,1,Kuala Lumpur,1,0,0,0,4
1700,Pandan Perdana,Apartment,1,450,2,Kuala Lumpur,1,1,1,1,4
1200,Desa Pandan,Condominium,3,900,0,Kuala Lumpur,1,0,0,1,5
2100,Jalan Sultan Ismail,Service Residence,1,560,2,Kuala Lumpur,1,1,1,1,6
1400,Sentul,Condominium,3,1010,0,Kuala Lumpur,0,0,0,0,4
1400,Cheras,Condominium,3,865,2,Kuala Lumpur,1,1,1,1,3
1400,Kepong,Service Residence,3,932,1,Kuala Lumpur,1,0,0,1,3
650,Keramat,Flat,2,568,1,Kuala Lumpur,0,0,0,0,5
1350,Sentul,Service Residence,3,1095,0,Kuala Lumpur,1,1,1,1,4
1600,Old Klang Road,Duplex,1,775,2,Kuala Lumpur,1,1,1,1,5
1700,Old Klang Road,Service Residence,2,775,2,Kuala Lumpur,1,1,1,1,5
1599,Pudu,Condominium,3,900,1,Kuala Lumpur,1,0,0,1,5
1880,Jalan Kuching,Service Residence,3,1290,1,Kuala Lumpur,1,1,0,1,5
1800,Segambut,Condominium,3,1298,1,Kuala Lumpur,1,0,0,1,5
1800,Jalan Kuching,Service Residence,3,1105,2,Kuala Lumpur,1,1,1,1,5
1300,Bukit Jalil,Apartment,4,1200,0,Kuala Lumpur,0,1,1,0,3
1800,Bangsar South,Apartment,3,1200,1,Kuala Lumpur,0,0,0,1,5
1800,Cheras,Condominium,4,1142,1,Kuala Lumpur,1,0,0,0,3
1500,Setiawangsa,Apartment,3,874,1,Kuala Lumpur,0,0,0,0,5
1300,Cheras,Apartment,3,850,2,Kuala Lumpur,0,0,0,0,3
1200,Cheras,Condominium,3,975,1,Kuala Lumpur,1,0,0,1,3
600,Cheras,Apartment,3,700,0,Kuala Lumpur,0,0,0,0,3
1499,Setapak,Service Residence,2,700,2,Kuala Lumpur,1,1,0,1,4
1300,Desa Pandan,Apartment,3,900,2,Kuala Lumpur,1,0,0,1,5
1000,Desa Pandan,Apartment,3,900,1,Kuala Lumpur,1,0,0,1,5
1400,Cheras,Service Residence,2,650,0,Kuala Lumpur,1,1,0,1,3
900,Cheras,Flat,3,650,0,Kuala Lumpur,0,0,0,0,3
900,Ampang,Flat,3,680,1,Kuala Lumpur,0,0,0,0,3
1300,Cheras,Apartment,3,1000,1,Kuala Lumpur,1,0,0,0,3
1000,Cheras,Flat,3,700,2,Kuala Lumpur,0,0,0,0,3
1550,Sentul,Condominium,3,900,1,Kuala Lumpur,1,1,0,1,4
2600,Jalan Sultan Ismail,Service Residence,2,805,2,Kuala Lumpur,1,1,1,1,6
1400,Old Klang Road,Duplex,1,775,1,Kuala Lumpur,0,1,1,0,5
1700,Jalan Ipoh,Condominium,3,1300,1,Kuala Lumpur,1,1,0,1,5
1800,Kuchai Lama,Service Residence,2,804,2,Kuala Lumpur,1,0,0,1,4
850,Sentul,Apartment,2,570,0,Kuala Lumpur,0,0,0,0,4
1200,Bukit Jalil,Apartment,3,850,1,Kuala Lumpur,1,1,1,1,3
2800,Segambut,Service Residence,3,1033,2,Kuala Lumpur,1,1,0,1,5
