monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,Cooking Allowed,Sauna,Gymnasium,Multipurpose hall,Minimart,Internet,Squash Court,Jogging Track,Club house,Washing Machine,Security,Barbeque area,Lift,Air-Cond,Playground,Swimming Pool,Tennis Court,Near KTM/LRT,location_bin
2300.0,Cheras,Condominium,3,1.0,2.0,1170,1,Kuala Lumpur,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1000.0,Taman Desa,Apartment,3,0.0,2.0,650,2,Kuala Lumpur,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4
1700.0,Sentul,Apartment,2,1.0,2.0,743,1,Kuala Lumpur,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,4
1299.0,Mont Kiara,Service Residence,1,1.0,1.0,494,0,Kuala Lumpur,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,6
1500.0,Setapak,Apartment,3,1.0,2.0,884,1,Kuala Lumpur,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,4
1550.0,Ampang,Service Residence,1,1.0,1.0,700,2,Kuala Lumpur,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,3
1400.0,Segambut,Apartment,2,1.0,1.0,750,2,Kuala Lumpur,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,5
1350.0,Desa ParkCity,Condominium,3,1.0,2.0,862,1,Kuala Lumpur,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,6
2600.0,Bukit Jalil,Service Residence,2,1.0,2.0,868,1,Kuala Lumpur,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,3
2000.0,Setapak,Service Residence,4,2.0,2.0,1100,1,Kuala Lumpur,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,4
1500.0,Ampang,Service Residence,1,1.0,1.0,700,2,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,3
1300.0,Sentul,Service Residence,3,1.0,2.0,1009,2,Kuala Lumpur,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,4
1000.0,Kepong,Apartment,5,1.0,2.0,855,1,Kuala Lumpur,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,3
1400.0,Cheras,Service Residence,2,2.0,2.0,650,0,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1800.0,Ampang,Condominium,3,1.0,2.0,1100,2,Kuala Lumpur,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,3
1099.0,Cheras,Service Residence,2,1.0,2.0,650,0,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1099.0,Cheras,Service Residence,2,1.0,2.0,650,1,Kuala Lumpur,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,3
1199.0,Cheras,Service Residence,3,1.0,2.0,819,0,Kuala Lumpur,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,3
1100.0,Cheras,Service Residence,2,1.0,2.0,650,0,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,3
1000.0,Cheras,Apartment,3,1.0,2.0,650,0,Kuala Lumpur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1100.0,Cheras,Condominium,1,1.0,1.0,900,1,Kuala Lumpur,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,3
1400.0,Wangsa Maju,Condominium,3,1.0,2.0,1140,0,Kuala Lumpur,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,4
1500.0,Setapak,Condominium,3,1.0,2.0,900,0,Kuala Lumpur,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4
1750.0,Sentul,Apartment,3,0.0,2.0,1065,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1800.0,Setapak,Apartment,3,1.0,2.0,885,2,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1900.0,Sentul,Condominium,3,2.0,2.0,1300,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1500.0,Jalan Kuching,Studio,1,1.0,1.0,530,2,Kuala Lumpur,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,5
2400.0,Bandar Menjalara,Condominium,3,1.0,2.0,1316,2,Kuala Lumpur,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,4
1400.0,Old Klang Road,Condominium,3,1.0,2.0,1270,1,Kuala Lumpur,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,5
1800.0,Cheras,Service Residence,3,1.0,2.0,819,1,Kuala Lumpur,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,3
1500.0,Desa Pandan,Apartment,3,1.0,2.0,950,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
1600.0,Jalan Kuching,Condominium,3,1.0,2.0,1100,2,Kuala Lumpur,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,5
1800.0,Setapak,Condominium,3,0.0,2.0,1066,2,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2100.0,KLCC,Condominium,2,1.0,2.0,706,2,Kuala Lumpur,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,6
2500.0,Ampang Hilir,Condominium,2,1.0,1.0,890,2,Kuala Lumpur,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6
1300.0,Sentul,Service Residence,2,1.0,2.0,650,1,Kuala Lumpur,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,4
2000.0,Bukit Bintang,Service Residence,2,1.0,2.0,742,2,Kuala Lumpur,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,6
2000.0,Desa ParkCity,Condominium,3,1.0,2.0,862,2,Kuala Lumpur,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,6
2100.0,Cheras,Condominium,4,1.0,3.0,1300,2,Kuala Lumpur,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3
1300.0,KL City,Apartment,3,1.0,2.0,805,1,Kuala Lumpur,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,6
2600.0,Wangsa Maju,Condominium,4,2.0,2.0,1000,2,Kuala Lumpur,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,4
2000.0,Ampang Hilir,Service Residence,1,1.0,1.0,440,2,Kuala Lumpur,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6
2500.0,Bukit Jalil,Condominium,3,2.0,2.0,1028,2,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3
2000.0,Setapak,Condominium,4,1.0,2.0,940,2,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,4
1800.0,Setapak,Condominium,3,1.0,2.0,860,2,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,4
1700.0,Jalan Kuching,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5
1600.0,Setapak,Condominium,4,1.0,2.0,914,1,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,4
2000.0,Jalan Kuching,Condominium,3,2.0,2.0,1100,2,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,5
1500.0,Kepong,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,3
1700.0,Jalan Kuching,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5
1850.0,Kepong,Condominium,3,2.0,2.0,1100,2,Kuala Lumpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1700.0,Sentul,Condominium,4,2.0,3.0,1200,1,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4
1700.0,Jalan Ipoh,Service Residence,2,1.0,2.0,904,2,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5
1800.0,Kepong,Condominium,4,2.0,2.0,1300,1,Kuala Lumpur,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,3
1600.0,Setapak,Condominium,3,1.0,2.0,950,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1600.0,Kepong,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,3
1400.0,Cheras,Service Residence,2,2.0,2.0,650,0,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1000.0,KLCC,Apartment,3,2.0,2.0,1000,1,Kuala Lumpur,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,6
